perangkatid;name;processor_brand;processor_name;ram;storage_capacity;storage_type;battery;screen;graphic;price
30612;ASUS Strix G15 Ryzen 7 Octa Core AMD Ryzenâ¢ 7 4800H 4th Gen;AMD;Ryzen 7 Octa Core;8 GB;512 GB;SSD;5;Full HD Anti-glare Display, IPS Level, 144 Hz;NVIDIA GeForce GTX 1650;16067813
30613;acer Travelmate Core i5 11th Gen;Intel;Core i5;16 GB;1 TB;SSD;8;Full HD IPS Display;Intel Integrated Iris Xe;13041663
30614;DELL Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;6;Full HD WVA Truelife Touch Narrow Border with Dell Active Pen;Intel Integrated UHD;14606913
30615;ASUS Core i3 10th Gen;Intel;Core i3;4 GB;1 TB;HDD;5;HD LED Backlit Anti-glare Display (200 nits Brightness, 45% NTSC Color Gamut, 78% Screen-to-body Ratio);Intel Integrated HD 520;7304500
30616;Lenovo IdeaPad 3 Core i3 10th Gen;Intel;Core i3;8 GB;256 GB;SSD;11;Full HD TN 220nits Anti-glare;Intel Integrated UHD;7302413
30617;Lenovo IdeaPad 3 Chromebook Celeron Dual Core;Intel;Celeron Dual Core;4 GB;64 GB;EMMC;10;HD TN 250nits Anti-glare;Intel Integrated UHD;3337113
30618;ASUS Rog Strix G15 Ryzen 9 Octa Core AMD Ryzenâ¢ 9 5900H Processor 3.0 GHz (16M Cache, up to 4.6 GHz) 5th Gen;AMD;Ryzen 9 Octa Core;16 GB;1 TB;SSD;5;Full HD Anti-glare Display, IPS Level, 300 Hz;NVIDIA GeForce RTX 3050Ti;27128913
30619;MSI Modern 14 Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;5;Full HD 60Hz 45%NTSC IPS-Level Display;Intel Integrated UHD;9598113
30620;MSI Modern 14 Core i3 11th Gen;Intel;Core i3;8 GB;512 GB;SSD;3;Full HD Display (60Hz, 45%NTSC, IPS-Level);Intel Integrated UHD;9702463
30621;MSI Modern 14 Core i7 11th Gen;Intel;Core i7;8 GB;512 GB;SSD;3;Full HD Display (60Hz, 45%NTSC, IPS-Level);Intel Integrated Iris Xe;12519913
30622;MSI Modern 14 Core i7 11th Gen;Intel;Core i7;8 GB;512 GB;SSD;6;Full HD Display (60Hz, 72% NTSC, IPS-Level, Close to 100%sRGB);NVIDIA GeForce MX450;16819133
30623;MSI Modern 14 Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;6;Full HD, 60Hz 45%NTSC IPS-Level;Intel Integrated UHD;9806813
30624;ASUS ASUS TUF Gaming Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;SSD;5;Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, Value IPS-level);NVIDIA GeForce RTX 3050;15859113
30625;ASUS ASUS TUF Gaming Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;4;Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, Value IPS-level);NVIDIA GeForce RTX 3050;15024313
30626;ASUS ASUS TUF Gaming Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;4;Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, Value IPS-level);NVIDIA GeForce RTX 3050;21702713
30627;ASUS Vivobook Gaming Core i5 10th Gen;Intel;Core i5;8 GB;1 TB;SSD;3;Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, 80% Screen-to-body Ratio, IPS Level Panel);NVIDIA GeForce GTX 1650;13146013
30628;ASUS Vivobook Gaming Core i5 9th Gen;Intel;Core i5;8 GB;1 TB;SSD;3;Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, 80% Screen-to-body Ratio, IPS Level Panel);NVIDIA GeForce GTX 1650;12102513
30629;ASUS Vivobook Gaming Core i7 10th Gen;Intel;Core i7;8 GB;512 GB;SSD;4;15.6 inch Full HD LCD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, 80% Screen-to-body Ratio, IPS Level Panel);NVIDIA GeForce GTX 1650;13354713
30630;ASUS ROG Zephyrus G14 Ryzen 7 Octa Core 4800HS;AMD;Ryzen 7 Octa Core;8 GB;1 TB;SSD;3;WQHD Anti-glare Display (170/170 Viewing Angle, IPS-level Panel, 300 nits Brightness,1000:1, Adaptive-Sync);NVIDIA GeForce GTX 1650;15650413
30631;ASUS Vivobook Gaming Core i7 10th Gen;Intel;Core i7;16 GB;1 TB;SSD;4;Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, 80% Screen-to-body Ratio, IPS Level Panel);NVIDIA GeForce GTX 1650;14398213
30632;ASUS ASUS TUF Gaming Core i7 11th Gen;Intel;Core i7;16 GB;512 GB;SSD;3;Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, Value IPS-level);NVIDIA GeForce RTX 3050;19824413
30633;ASUS ASUS TUF Gaming Ryzen 7 Octa Core 4800H;AMD;Ryzen 7 Octa Core;16 GB;512 GB;SSD;3;Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, Value IPS-level);NVIDIA GeForce RTX 3050;16902613
30634;ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS;AMD;Ryzen 9 Octa Core;16 GB;1 TB;SSD;3;WQHD Anti-glare Display (16:9, 85/85/85/85 Viewing Angle, IPS-level Panel, 300nits Brightness, 1:1000, FreeSync);NVIDIA GeForce RTX 3060;29215913
30635;ASUS Vivobook Gaming Core i7 10th Gen;Intel;Core i7;16 GB;512 GB;SSD;3;Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, 80% Screen-to-body Ratio, IPS Level Panel);NVIDIA GeForce GTX 1650;14189513
30636;ASUS Ryzen 5 Hexa Core;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;6;35.56cm(14.0-inch),FHD (1920 x 1080) 16:9,Anti-glare display,LED Backlit,200nits,NTSC: 45%,Screen-to-body ratio: 78%;AMD Radeon wega 8;10174125
30637;Lenovo IdeaPad 3 Core i3 11th Gen;Intel;Core i3;8 GB;512 GB;SSD;6;Full HD IPS Anti-glare Display (300nits);Intel Integrated UHD;10121950
30638;Lenovo Yoga Slim 7 Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;14;;Intel Integrated Iris Xe;17320013
30639;Lenovo IdeaPad 5 Pro Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;10;;Intel Integrated Iris Xe;14606913
30640;ASUS Core i3 11th Gen;Intel;Core i3;8 GB;1 TB;HDD;6;35.56cm(14.0-inch),FHD (1920 x 1080) 16:9,Anti-glare display,LED Backlit,200nits,NTSC: 45%,Screen-to-body ratio: 78%;Intel Integrated Intel UHD Graphic;8661050
30641;ASUS Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;3;Full HD (IPS-level Panel, NTSC: 45%, 250nits);AMD Radeon Radeon;9944555
30642;ASUS ROG Strix G15 Ryzen 9 Octa Core AMD Ryzenâ¢ 9 5900H Processor 3.0 GHz (16M Cache, up to 4.6 GHz) 5th Gen;AMD;Ryzen 9 Octa Core;16 GB;1 TB;SSD;5;Full HD Anti-glare Display, IPS Level, 300 Hz;NVIDIA GeForce RTX 3050Ti;25041913
30643;MSI GF63 Thin Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;5;Full HD, 144Hz 45%NTSC IPS-Level;NVIDIA GeForce RTX 3050;14606913
30644;MSI GF65 Thin Core i7 10th Gen;Intel;Core i7;16 GB;1 TB;SSD;8;Full HD, 144Hz 45%NTSC IPS-Level;NVIDIA GeForce RTX 3060;17320013
30645;HP Pavilion Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;5;Full HD (144 Hz, IPS, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC);AMD Radeon AMD;11685113
30646;HP Pavilion Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;16 GB;512 GB;SSD;3;Full HD (144 Hz, IPS, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC);AMD Radeon AMD;14295950
30647;MSI Katana GF66 Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;8;Full HD IPS Display (45% NTSC Color Gamut);NVIDIA GeForce RTX 3050;17737413
