perangkatid;name;processor_brand;processor_name;ram;storage_capacity;storage_type;battery;screen;graphic;price
30697;DELL Vostro Core i3 11th Gen;Intel;Core i3;4 GB;1 TB;SSD;10;Full HD LED Backlit Anti Glare Display;Intel Integrated UHD;7302413
30698;HP Pavilion Aero Ryzen 5 Hexa Core 5600U;AMD;Ryzen 5 Hexa Core;16 GB;512 GB;SSD;3;Quad HD IPS Micro-edge Anti-glare Display (400 nits Brightness, 170 PPI, 100% sRGB Color Gamut);AMD Radeon;13753330
30699;HP 15s Ryzen 3 Quad Core 5300U;AMD;Ryzen 3 Quad Core;8 GB;512 GB;SSD;3;Full HD SVA Anti-glare Micro-edge WLED-backlit Display (Brightness: 250 nits, 141 ppi);AMD Radeon;8533743
30700;MSI Bravo Ryzen 5 Hexa Core 5600H;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;3;Full HD 144Hz 45%NTSC IPS-Level Display;AMD Radeon RX5500M;14502563
30701;ASUS VivoBook Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;SSD;3;Full HD LED Backlit, Anti-Glare, LCD IPS Display (250 nits Brightness, 45% NTSC Color Gamut, 16:9 Aspect Ratio);Intel Integrated UHD;13354713
30702;Lenovo Ideapad Slim 3i Core i5 11th Gen;Intel;Core i5;8 GB;256 GB;SSD;11;Full HD LED Backlit, IPS Anti-Glare Display (300 nits Brightness, 45% NTSC Color Gamut);Intel Integrated INTEGRATED INTEL IRIS XE GRAPHICS;1172873
30703;ASUS Core i3 11th Gen;Intel;Core i3;4 GB;256 GB;SSD;3;;Intel Integrated;863997
30704;Lenovo IdeaPad Gaming Core i7 10th Gen;Intel;Core i7;8 GB;512 GB;SSD;8;Full HD LED Backlit, IPS Anti-Glare Display (250 nits Brightness, 120Hz Refresh Rate);NVIDIA GeForce GTX 1650;1597118
30705;ASUS Core i3 10th Gen;Intel;Core i3;8 GB;512 GB;SSD;4;Full HD LED Backlit Anti-glare Display (16:9, 200nits Brightness, NTSC: 45% Color Gamut, 83% Screen-to-body Ratio);Intel Integrated UHD;8763313
30706;ASUS Core i3 10th Gen;Intel;Core i3;4 GB;512 GB;SSD;8;15.6 inch Full HD LCD LED Backlit Anti-glare Display (16:9, 200nits Brightness, NTSC: 45% Color Gamut, 83% Screen-to-body Ratio);Intel Integrated UHD;8137213
30707;ASUS Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;4;Full HD LED Backlit Anti-glare Display (16:9, 200nits Brightness, NTSC: 45% Color Gamut, 83% Screen-to-body Ratio);Intel Integrated UHD;10432913
30708;ASUS Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;3;Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, 83% Screen-to-body Ratio, IPS Level Panel);NVIDIA GeForce MX130;10850313
30709;HP Ryzen 5 Quad Core 3500U;AMD;Ryzen 5 Quad Core;8 GB;1 TB;SSD;12;Full HD;AMD Radeon;11059013
30710;DELL Vostro Core i3 10th Gen;Intel;Core i3;8 GB;512 GB;SSD;10;Full HD LED Backlit, Anti-Glare Display;Intel Integrated UHD;8554613
30711;Lenovo Core i5 11th Gen;Intel;Core i5;4 GB;512 GB;SSD;3;;;12208950
30712;Lenovo IdeaPad 3 Core i3 10th Gen;Intel;Core i3;8 GB;1 TB;HDD;9;Full HD TN 220nits Anti-glare;Intel Integrated UHD;7719813
30713;MSI Pulse GL66 Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;3;Full HD IPS Display (72% NTSC Color Gamut, 100% sRGB);NVIDIA GeForce RTX 3060;23998413
30714;Lenovo IdeaPad 3 Core i3 10th Gen;Intel;Core i3;4 GB;256 GB;SSD;11;Full HD TN 220nits Anti-glare;Intel Integrated UHD;8345913
30715;Lenovo IdeaPad 3 Core i3 10th Gen;Intel;Core i3;8 GB;1 TB;HDD;9;HD TN 220nits Anti-glare;Intel Integrated UHD;7406763
30716;Lenovo IdeaPad 3 Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;7;Full HD TN 220nits Anti-glare;Intel Integrated UHD;8345913
30717;Avita PURA APU Dual Core A6;AMD;APU Dual Core A6;4 GB;128 GB;SSD;6;HD TFT IPS Display;AMD Radeon R4;4484963
30718;ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS;AMD;Ryzen 9 Octa Core;16 GB;1 TB;SSD;3;;NVIDIA GeForce RTX 3060;29633313
30719;acer Travelmate Core i3 11th Gen;Intel;Core i3;8 GB;1 TB;SSD;8;IPS Display;Intel Integrated UHD;9076363
30720;acer Travelmate Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;SSD;8;IPS Display;Intel Integrated Iris Xe;11059013
30721;HP 14s Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;3;Full HD WLED Backlit, Micro-Edge IPS, BrightView Display (250 nits Brightness, 157ppi, 45% NTSC Color Gamut);Intel Integrated UHD;11244756
30722;Lenovo Yoga Slim 7 Intel EVO Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;16;Full HD LED Backlit, IPS Glossy Display (300 nits Brightness, 72% NTSC Color Gamut);Intel Integrated Iris Xe;19617591
30723;HP Chromebook MediaTek Kompanio 500;MediaTek;MediaTek Kompanio 500;4 GB;64 GB;EMMC;15;HD Touch IPS Anti-glare Display (220 nits Brightness, 50% NTSC, 73% Screen-to-body Ratio);MediaTek Integrated;4171913
30724;Lenovo IdeaPad Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;7;Full HD LED Backlit, Anti-Glare Display (250 nits Brightness);Intel Integrated Iris Xe;1189569
30725;APPLE MacBook Air M1;Apple;M1;8 GB;512 GB;SSD;15;Quad LED Backlit IPS Display (227 PPI, 400 nits Brightness, Wide Colour (P3), True Tone Technology);;21494013
30726;APPLE MacBook Pro M1;Apple;M1;8 GB;1 TB;SSD;17;Quad LED Backlit IPS Display (227 PPI, 500 nits Brightness, Wide Colour (P3), True Tone Technology);;31302913
30727;APPLE MacBook Air M1;Apple;M1;8 GB;512 GB;SSD;15;Quad LED Backlit IPS Display (227 PPI, 400 nits Brightness, Wide Colour (P3), True Tone Technology);;21494013
30728;Lenovo APU Dual Core A9 A99425;AMD;APU Dual Core A9;4 GB;1 TB;HDD;4;HD Display;AMD Radeon;4569695
30729;HP OMEN 15 Ryzen 7 Octa Core 5800H;AMD;Ryzen 7 Octa Core;16 GB;1 TB;SSD;12;Full HD IPS Micro-edge Anti-glare Display (Brightness: 300 nits, 141 ppi, Color Gamut: 72% NTSC, 144 Hz Refresh Rate);NVIDIA GeForce RTX 3060;22954913
30730;ASUS Chromebook Flip Celeron Dual Core;Intel;Celeron Dual Core;4 GB;64 GB;EMMC;3;HD LED Backlit LCD Anti-glare Display (16:9, NTSC: 45% Color Gamut, 200nits Brightness, 65% Screen-to-body Ratio);Intel Integrated UHD 600;4589313
30731;ASUS Chromebook Celeron Dual Core;Intel;Celeron Dual Core;4 GB;32 GB;EMMC;3;HD LED Backlit LCD Anti-glare Display (16:9, NTSC: 45% Color Gamut, 200nits Brightness, 74% Screen-to-body Ratio);Intel Integrated HD 500;4171913
30732;ASUS Chromebook Celeron Dual Core;Intel;Celeron Dual Core;4 GB;64 GB;EMMC;3;HD LED Backlit LCD Anti-glare Display (16:9, NTSC: 45% Color Gamut, 200nits Brightness, 80% Screen-to-body Ratio);Intel Integrated HD 500;4278141
30733;HP OMEN 15 Ryzen 7 Octa Core 5800H;AMD;Ryzen 7 Octa Core;16 GB;1 TB;SSD;12;Quad HD IPS Micro-edge Anti-glare Display (3 ms Response Time, Brightness: 300 nits, 188 ppi, Color Gamut: 100% DCI-P3, 165 Hz Refresh Rate);NVIDIA GeForce RTX 3070;33076863
30734;ASUS Chromebook Celeron Dual Core;Intel;Celeron Dual Core;4 GB;64 GB;EMMC;4;HD LED Backlit LCD Glossy Display (16:9, NTSC: 45% Color Gamut, 200nits Brightness, 78% Screen-to-body Ratio);Intel Integrated HD 500;4798013
30735;ASUS Chromebook Celeron Dual Core;Intel;Celeron Dual Core;4 GB;64 GB;EMMC;6;HD LED Backlit LCD Anti-glare Display (16:9, NTSC: 45% Color Gamut, 200nits Brightness, 78% Screen-to-body Ratio);Intel Integrated HD 500;4171913
30736;ASUS ROG Flow X13 (2021) Ryzen 9 Octa Core 5980HS;AMD;Ryzen 9 Octa Core;32 GB;1 TB;SSD;5;WQUXGA LED Backlit Glossy IPS-Level Touch Display with Adaptive Sync (16:10 Aspect Ratio, 60 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 82% NTSC Color Gamut, 116% sRGB, 86% Adobe, 85% DCI-P3, Pantone Validated);NVIDIA GeForce GTX 1650;50085913
30737;ASUS Chromebook Celeron Dual Core;Intel;Celeron Dual Core;4 GB;64 GB;EMMC;5;Full HD LED Backlit LCD Glossy Display (16:9, NTSC: 45% Color Gamut, 200nits Brightness, 80% Screen-to-body Ratio);Intel Integrated HD 500;5006713
30738;HP Pavilion Ryzen 7 Octa Core 5800H;AMD;Ryzen 7 Octa Core;16 GB;512 GB;SSD;4;Full HD Micro-Edge Anti Glare IPS Display (300 nits Brightness|| 141 PPI|| 72% NTSC Color Gamut);NVIDIA GeForce RTX 3050;18553430
30739;ASUS EeeBook 12 Celeron Dual Core;Intel;Celeron Dual Core;4 GB;64 GB;EMMC;4;HD LED Backlit Anti Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 73% Screen-to-body Ratio, IPS-level Panel);Intel Integrated UHD 600;4380613
30740;Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;6;Full HD LED Backlit, IPS Anti-Glare Display (250 nits Brightness, 120 Hz Refresh Rate);NVIDIA GeForce GTX 1650;1586099
30741;ASUS Vivobook S14 Ryzen 5 Hexa Core Ryzen;AMD;Ryzen 5 Hexa Core;8 GB;1 TB;SSD;8;14.0-inch,FHD (1920 x 1080) 16:9,IPS-level Panel,Anti-glare display,LED Backlit,250nits,NTSC: 45%,Screen-to-body ratio: 85 ?;AMD Radeon AMD Radeon;14398213
30742;Lenovo APU Dual Core A9 A99425;AMD;APU Dual Core A9;4 GB;1 TB;HDD;4;HD Display;AMD Radeon R5;5653683
30743;Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;7;Full HD LED Backlit, Anti-Glare IPS Display (300 nits Brightness, 45% NTSC Color Gamut);Intel Integrated Iris Xe;10641613
30744;Lenovo Legion 5 Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;6;Full HD LED Backlit, IPS Anti-Glare, DC Dimmer Display (120Hz Refresh Rate, 250 nits Brightness, 45% NTSC Color Gamut);NVIDIA GeForce GTX 1650;13667763
30745;acer Nitro Ryzen 5 Hexa Core 5600H;AMD;Ryzen 5 Hexa Core;8 GB;1 TB;SSD;5;Full HD LED Backlit, TFT LCD, IPS Display (16:9 Aspect Ratio, 144Hz Refresh Rate, Wide Viewing Angle up to 170 Degrees);NVIDIA GeForce RTX 3050;15233013
30746;DELL Inspiron Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;6;Full HD WVA AG Narrow Border Display (250 nits Brightness);Intel Integrated Iris Xe;15182507
30747;DELL Vostro Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;8;Full HD WVA AG Display (250 nits Brightness, Narrow Border);AMD Radeon;12415563
30748;ASUS ROG Strix G15(2021) Ryzen 7 Octa Core 5800H;AMD;Ryzen 7 Octa Core;16 GB;1 TB;SSD;3;Full HD LED Backlit, Anti-Glare IPS, Adaptive-Sync Display (144Hz Refresh Rate, 250 nits Brightness, 1:1000 Contrast, 45% NTSC Color Gamut, 62.5% SRGB, 16:9 Aspect Ratio);NVIDIA GeForce RTX 3050;21285313
30749;ASUS VivoBook Ultra Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;4;Full HD LED Backlit Anti Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 85% Screen-to-Body Ratio);AMD Radeon;12311213
30750;Lenovo E41 APU Dual Core A6 A6;AMD;APU Dual Core A6;4 GB;1 TB;HDD;4;HD LED Backlit Display;AMD Radeon R4 (Stoney Ridge);584798
30751;HP Core i3 10th Gen;Intel;Core i3;8 GB;512 GB;SSD;12;Full HD LED Backlit Anti-glare Micro-edge Display (220 nits Brightness, 45% NTSC Color Gamut, 141 PPI);Intel Integrated UHD;8867663
30752;DELL Inspiron Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;6;Full HD LED Backlit, Truelife, Touch Display with Narrow Border;NVIDIA GeForce MX350;17528713
30753;ASUS Core i5 10th Gen;Intel;Core i5;8 GB;1 TB;SSD;6;;NVIDIA GeForce MX330;11685113
30754;DELL Inspiron Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;6;Full HD LED Backlit, Anti-Glare Display;Intel Integrated Iris Xe;14398213
30755;DELL Inspiron Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;10;Full HD LED Backlit, Anti-Glare Display with Narrow Border;AMD Radeon Vega;12415563
30756;DELL Inspiron Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;6;Full HD LED Backlit, Anti-Glare Display;NVIDIA GeForce MX450;1502368
30757;DELL Inspiron 5518 Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;8;FHD LED Backlit WVA Anti-glare Display;NA IntelÂ® IrisÂ® Xe Graphics;15005530
30758;DELL Inspiron Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;8;Quad HD+ LED Backlit Anti-Glare Display;NVIDIA GeForce MX350;18572213
30759;DELL XPS Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;19;Ultra HD Infinity Edge Anti-Reflective Touch Display (400 nits Brightness);Intel Integrated Iris Xe;37939573
30760;ASUS VivoBook 17 Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;16 GB;512 GB;SSD;14;Full HD LED Backlit Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 85% Screen-to-Body Ratio);AMD Radeon;16278600
30761;HP HP Pavilion Ryzen 5 Hexa Core 4600H;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;5;Full HD IPS Micro-Edge Anti-Glare Display (250 nits Brightness, 141 PPI, 45% NTSC Color Gamut);NVIDIA GeForce GTX 1650Ti;13146013
30762;DELL Inspiron Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;6;Full HD LED Backlit, WVA Display (Touch with Active Pen);Intel Integrated Iris Xe;16485213
30763;DELL Inspiron Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;6;Full HD LED Backlit, Truelife, Touch Display with Narrow Border;Intel Integrated Iris Xe;14794743
30764;ASUS TUF Gaming F15 (2021) Core i7 11th Gen;Intel;Core i7;8 GB;1 TB;SSD;3;Full HD LED Backlit, Anti-Glare IPS, Adaptive-Sync Display (144Hz Refresh Rate, 250 nits Brightness, 1000:1 Contrast, 45% NTSC Color Gamut, 62.5% SRGB);NVIDIA GeForce RTX 3050;22954913
30765;MSI GF63 Thin Core i5 10th Gen;Intel;Core i5;8 GB;1 TB;HDD;3;Full HD LED Backlit IPS Display (60Hz Refresh Rate, 45%NTSC Color Gamut);NVIDIA GeForce GTX 1650 Max Q;11580763
30766;DELL G15 Core i5 10th Gen;Intel;Core i5;16 GB;512 GB;SSD;10;Full HD WVA AG Narrow Border Display (250 nits Brightness);NVIDIA GeForce GTX 1650;15671283
30767;DELL G15 Core i5 10th Gen;Intel;Core i5;16 GB;512 GB;SSD;10;Full HD WVA AG Narrow Border Display (250 nits Brightness);NVIDIA GeForce GTX 1650;16067813
30768;ASUS ROG Flow X13 (2021) Ryzen 9 Octa Core 5900HS;AMD;Ryzen 9 Octa Core;16 GB;1 TB;SSD;4;WUXGA LED Backlit Glossy IPS-Level Touch Display with Adaptive Sync (16:10 Aspect Ratio, 120 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 72% NTSC Color Gamut, 100% sRGB, 75% Adobe, 75% DCI-P3, Pantone Validated);NVIDIA GeForce GTX 1650;22954913
30769;ASUS TUF Gaming F17 (2021) Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;SSD;4;Full HD LED Backlit, Anti-Glare IPS, Adaptive-Sync Display (144Hz Refresh Rate, 250 nits Brightness, 800:1 Contrast, 45% NTSC Color Gamut, 62.5% SRGB, 16:9 Aspect Ratio);NVIDIA GeForce RTX 3050;16485213
30770;DELL G15 Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;10;Full HD WVA AG Narrow Border Display (250 nits Brightness);NVIDIA GeForce GTX 1650;13772113
30771;MSI Stealth 15M Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;3;Full HD LED Backlit IPS Display (144Hz Refresh Rate, 45%NTSC Color Gamut);NVIDIA GeForce RTX 3060;26920213
30772;HP 15s Core i3 10th Gen;Intel;Core i3;8 GB;1 TB;HDD;12;Full HD LED Backlit, Micro-Edge Anti-Glare Display (220 nits Brightness, 141 ppi, 45% NTSC Color Gamut);Intel Integrated UHD;7719813
30773;Lenovo Ideapad Slim 5i Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;SSD;11;Full HD IPS Anti-glare Display (300nits Brightness, 45% NTSC Color Gamut);NVIDIA GeForce MX450;12311213
30774;Lenovo Ideapad Slim 5i Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;11;Full HD LED Backlit, Anti-Glare IPS Display (300 nits Brightness, 45% NTSC Color Gamut);NVIDIA GeForce MX450;13980813
30775;DELL Vostro Core i3 10th Gen;Intel;Core i3;4 GB;1 TB;SSD;10;Full HD LED Backlit Anti Glare Display;Intel Integrated UHD;774819
30776;HP 15;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;4;Full HD IPS Anti-glare Micro-edge WLED-backlit Display (Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC);NVIDIA GeForce GTX 1650;12937313
30777;DELL Inspiron Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;12;Full HD LED Backlit, WVA Display (Touch with Active Pen);AMD Radeon Vega;14502563
30778;DELL Inspiron Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;8;Full HD LED Backlit, WVA Display (Touch with Active Pen);NVIDIA GeForce MX350;16693913
30779;Lenovo Ideapad Slim3 Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;7;Full HD LED Backlit, IPS Anti-Glare Display (300 nits Brightness, 45% NTSC Color Gamut);Intel Integrated UHD;1074784
30780;Lenovo Ideapad Slim 5i Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;11;Full HD LED Backlit, Anti-Glare IPS Display (300 nits Brightness, 45% NTSC Color Gamut);Intel Integrated Iris Xe;12937313
30781;MSI GF65 Thin Hexa Core i5 10th Gen;Intel;Hexa Core i5;16 GB;512 GB;SSD;6;Full HD LED Backlit IPS Display (144Hz Refresh Rate, 45%NTSC Color Gamut);NVIDIA GeForce RTX 3060;14606913
30782;MSI GF63 Thin Hexa Core i5 10th Gen;Intel;Hexa Core i5;8 GB;1 TB;SSD;5;Full HD LED Backlit IPS Display (60Hz Refresh Rate, 45%NTSC Color Gamut);NVIDIA GeForce GTX 1650 Max Q;11476413
30783;DELL DELL 5590 Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;5;FULL HD;NVIDIA GeForce GTX NVIDIA(R) GeForce(R) MX250 with 2GB GDDR5;13563413
30784;DELL GAMING G5 SERIES Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;5;;NVIDIA GeForce GTX 1650Ti;1429574
30785;Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;7;Full HD LED Backlit, Anti-Glare Display (250 nits Brightness);Intel Integrated Iris Xe;11267713
30786;Lenovo IdeaPad Slim 3i (2021) Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;7;Full HD LED Backlit, Anti-Glare IPS Display (300 nits Brightness, 45% NTSC Color Gamut);Intel Integrated UHD;9138973
30787;ASUS VivoBook Ultra K14 (2021) Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;4;Full HD LED Backlit Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 85% Screen to Body Ratio);AMD Radeon;12311213
30788;Lenovo Ideapad Slim 5 Ryzen 7 Octa Core 5700U;AMD;Ryzen 7 Octa Core;8 GB;512 GB;SSD;8;Full HD LED Backlit, Anti-Glare IPS Display (300 nits Brightness, 45% NTSC Color Gamut);AMD Radeon;12519913
30789;HP Pavilion Gaming Ryzen 7 Octa Core 4800H;AMD;Ryzen 7 Octa Core;16 GB;1 TB;SSD;3;Full HD WLED Backlit Anti-glare Micro-edge IPS Display (144 Hz Refresh Rate, Brightness: 250 nits, 141 PPI, Color Gamut: 45% NTSC);NVIDIA GeForce 1650Ti;15859113
30790;ASUS TUF Gaming F15 (2021) Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;4;Full HD LED Backlit, Anti-Glare IPS, Adaptive-Sync Display (144Hz Refresh Rate, 250 nits Brightness, 1000:1 Contrast, 45% NTSC Color Gamut, 62.5% SRGB, 16:9 Aspect Ratio);NVIDIA GeForce RTX 3060;18780913
30791;ASUS VivoBook Ultra Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;5;Full HD LED Backlit Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 85% Screen to Body Ratio);AMD Radeon;12311213
30792;Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;7;Full HD LED Backlit, Anti-Glare Display (250 nits Brightness);Intel Integrated Iris Xe;12102513
30793;Lenovo ThinkPad Core i5 10th Gen;Intel;Core i5;16 GB;512 GB;SSD;16;Full HD LED Backlit, IPS Anti-Glare Display;Intel Integrated UHD;32434275
30794;Lenovo Yoga Slim 7 Intel EVO Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;14;Full HD LED Backlit, IPS Glossy Display (300 nits Brightness, 100% sRGB);Intel Integrated Iris Xe;17113191
30795;Lenovo Yoga Slim 7 Intel EVO Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;15;Full HD Touch Glossy Display (IPS Level Panel, 300nits Brightness, 100% sRGB);Intel Integrated Iris Xe;20241813
30796;Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen;Intel;Core i5;8 GB;256 GB;SSD;7;Full HD LED Backlit, Anti-Glare Display (250 nits Brightness);Intel Integrated Iris Xe;10119863
30797;ASUS Zephyrus G14 Ryzen 7 Octa Core AMD Ryzenâ¢ 7 5800HS 5th Gen;AMD;Ryzen 7 Octa Core;8 GB;1 TB;SSD;10;14-inch FHD (1920 x 1080) 16:9 anti-glare display sRGB: 100% Adobe: 75.35% Refresh Rate: 144Hz IPS-level Pantone Validated:;NVIDIA GeForce RTX 3050;23040480
30798;Lenovo Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;10;FHD LED Anti-glare Display;NVIDIA GeForce MX350;17548748
30799;Lenovo ThinkPad E15 Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;10;Full HD LED Anti-glare Display;Intel Integrated Iris Xe;14189513
30800;HP Core i3 11th Gen;Intel;Core i3;8 GB;512 GB;SSD;5;"15.6""diagonal, HD(1366 x 768),narrow bezel, anti-glare, 250 nits, 45%NTSC";Intel Integrated UHD;9704132
30801;Lenovo IdeaPad Gaming 3 Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;8;Full HD LED Backlit Anti-glare IPS Display (120Hz Refresh Rate, 250 nits Brightness);NVIDIA GeForce GTX 1650;11267713
30802;Lenovo Legion Core i5 9th Gen;Intel;Core i5;8 GB;1 TB;SSD;10;Full HD LED Backlit Anti-glare IPS Display (60Hz Refresh Rate, 45% NTSC Color Gamut, 250 nits Brightness);NVIDIA GeForce GTX 1650;1506793
30803;ASUS VivoBook Ultra S14 Core i7 11th Gen;Intel;Core i7;8 GB;512 GB;SSD;7;Full HD LED Backlit Anti Glare Display (16:9, 250 nits Brightness, sRGB: 100% Color Gamut, IPS-level Panel);Intel Integrated Iris Xe;16276513
30804;Lenovo ThinkPad E15 Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;10;Full HD LED Anti-glare Display;Intel Integrated Iris Xe;13772113
30805;Lenovo Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;10;FHD LED Anti-glare Display;Intel Integrated Iris Xe;16276513
30806;Lenovo ThinkPad Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;16;Full HD LED Backlit, IPS Anti-Glare Display;Intel Integrated UHD;2616972
30807;ASUS VivoBook Ultra 17 Ryzen 5 Hexa Core;AMD;Ryzen 5 Hexa Core;8 GB;1 TB;SSD;14;17.3 inch Full HD LCD LED Backlit Anti-glare Display (250 nits Brightness, 45% NTSC Color Gamut, 85% Screen-to-body Ratio, IPS Level Panel);AMD Radeon;13104273
30808;ASUS ZenBook 13 (2021) OLED Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;4;Full HD LED Backlit OLED Display (16:9 Aspect Ratio, 400 nits Brightness, 100% DCI-P3 Color Gamut, 88% Screen-to-body Ratio);Intel Integrated Iris Xe;21494013
30809;Lenovo V Series Athlon Dual Core 3050U;AMD;Athlon Dual Core;4 GB;1 TB;HDD;5;HD LED Backlit, Anti-Glare Display (220 nits Brightness);AMD Radeon AMD Radeon Graphics;5841513
30810;Lenovo V Series Athlon Dual Core 3150U;AMD;Athlon Dual Core;4 GB;1 TB;HDD;5;Full HD LED Backlit, Anti-Glare Display (220 nits Brightness);AMD Radeon AMD Radeon Graphics;5820643
30811;DELL XPS Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;15;Full HD LED Backlit Infinity Edge Display;Intel Integrated Iris Xe;23935803
30812;ASUS Vivobook Core i3 11th Gen;Intel;Core i3;4 GB;256 GB;SSD;3;Full HD LED Backlit Anti-Glare Display (200 nits Brightness, 45% NTSC Color Gamut, 83% Screen-to-Body Ratio);Intel Integrated UHD;7302413
30813;DELL Vostro Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;SSD;10;Full HD LED Backlit, WVA Anti-Glare Display (Narrow Border);Intel Integrated Iris Xe;12937313
30814;DELL Vostro Core i3 10th Gen;Intel;Core i3;4 GB;256 GB;SSD;10;Full HD LED Backlit Anti Glare Display;Intel Integrated UHD;752509
30815;Lenovo IdeaPad Gaming 3 Core i5 10th Gen;Intel;Core i5;8 GB;1 TB;SSD;8;Full HD LED Backlit Anti-glare IPS Display (120Hz Refresh Rate, 250 nits Brightness);NVIDIA GeForce GTX 1650;1440009
30816;Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H;AMD;Ryzen 5 Hexa Core;8 GB;1 TB;SSD;6;Full HD LED Backlit, IPS Anti-Glare Display (250 nits Brightness, 120 Hz Refresh Rate);NVIDIA GeForce GTX 1650;13354713
30817;Lenovo Ideapad Slim 5i Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;11;Full HD LED Backlit, IPS Anti-Glare Display (300 nits Brightness, 45% NTSC Color Gamut);Intel Integrated Iris Xe;11893813
